n,R1,R2,R3,R4,IC/IB,vo/vin
1,15,3,4,2.5,149.41,2.33
2,15,2.25,5,1.5,150.66,3.12
3,9,2.25,4,1.5,162.94,5.04
4,12,3.8,4,1.5,166.54,6.24
5,15,3,3,2.5,149.84,1.76
6,12,2.25,5,1.5,156.84,4.52
7,9,2.25,5,1.5,162.25,6.29
8,9,3.8,3,2.5,163.44,3.93
9,9,3.8,5,2,164.41,5.36
10,15,3.8,5,2,157.53,4.83
11,15,3.8,3,2.5,154.99,2.33
12,9,3.8,3,1.5,171.68,5.78
13,15,3.8,4,2,158.3,3.82
14,9,3.8,3,2,167.19,4.84
15,9,3,3,2,163.91,3.87
16,15,3.8,4,1.5,163.1,5.05
17,12,3.8,4,2.5,158.32,3.98
18,15,3.8,5,1.5,162.04,6.18
19,15,3,3,2,153.98,2.17
20,9,2.25,3,1.5,163.98,3.82
21,9,3,4,2.5,159.14,4.19
22,9,2.25,4,2,158.11,3.84
23,9,2.25,5,2,157.36,4.77
24,12,3,3,2,158.84,2.85
25,12,2.25,5,2.5,147.51,2.68
26,12,2.25,5,2,151.44,3.34
27,15,2.25,5,2,145.6,2.38
28,12,2.25,4,1.5,157.04,3.48
29,9,3,4,2,162.84,5.11
30,9,3.8,5,2.5,161.27,5.7
31,9,3,5,1.5,165.76,5.68
32,9,3.8,4,2,165.8,5.79
33,12,2.25,3,1.5,157.72,2.63
34,15,2.25,4,1.5,151.12,2.5
35,9,2.25,3,2.5,154.78,2.32
36,9,2.25,5,2.5,153.6,3.86
37,12,2.25,3,2,152.44,2
38,12,2.25,4,2,151.94,2.65
39,15,3,5,2,152.88,3.6
40,12,3,3,2.5,154.75,2.3
41,15,3,5,2.5,148.98,2.92
42,12,3,3,1.5,163.94,3.74
43,12,3,5,2.5,153.58,3.85
44,12,3.8,3,1.5,167.94,4.85
45,15,2.25,3,2,146.28,1.44
46,12,3,4,2.5,154.17,3.09
47,12,2.25,3,2.5,148.28,1.61
48,12,3.8,5,2,161.05,6.02
49,9,2.25,3,2,158.87,2.85
50,12,3.8,5,1.5,165.15,5.96
51,9,3,3,2.5,159.98,3.16
52,15,2.25,3,1.5,151.59,1.89
53,12,2.25,4,2.5,147.89,2.14
54,9,3.8,5,1.5,145.53,4.83
55,15,2.25,4,2,145.94,1.91
56,15,2.25,4,2.5,141.87,1.55
57,12,3.8,3,2,163.07,3.65
58,12,3,5,2,157.33,4.76
59,12,3,4,1.5,162.9,5.03
60,12,3.8,5,2.5,157.53,4.93
61,15,2.25,5,2.5,141.61,1.93
62,9,3,3,1.5,168.73,5.14
63,9,3,5,2,161.76,6.1
64,15,3,4,1.5,158.47,3.78
65,9,3,5,2.5,158.3,5.09
66,12,3.8,4,2,162.06,4.91
67,15,3.8,3,1.5,164.15,3.78
68,15,3,3,1.5,159.23,2.85
69,9,3.8,4,1.5,169.76,5.33
70,9,2.25,4,2.5,154.19,3.07
71,15,3.8,5,2.5,153.8,3.91
72,15,3,5,1.5,157.72,4.76
73,12,3,5,1.5,158.61,6.12
74,15,3.8,3,2,159.06,2.88
75,9,3.8,4,2.5,162.35,5.16
76,15,3,4,2,153.43,2.88
77,15,2.25,3,2.5,142.14,1.16
78,9,3,4,1.5,167.24,6.15
79,12,3,4,2,158.08,3.83
80,15,3.8,4,2.5,154.39,3.09
81,12,3.8,3,2.5,159.11,2.96
